gameid,split,playoffs,date,game,playerid,side,position,player,team,champion,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
6913-9193-2-2,Spring,0,2021-01-11 10:17:55,2,100,Blue,team,,eStar,,1620,0,6,18,10,6,18,0.0,0.0,,,0.0,,,,0.2222,0.8889,0.0,0.0,4.0,0.0,,,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,,,0.0,2.0,38451.0,1424.1111,2507.037,1403.4444,90.0,3.3333,38.0,1.4074,48.0,43964,26062.0,965.2593,42100.0,915.0,749.0,166.0,133.0,8.0,33.8889,14938.0,17624.0,323.0,18020.0,19503.0,347.0,-3082.0,-1879.0,-24.0,1.0,2.0,5.0,5.0,6.0,1.0,24046.0,29589.0,506.0,29876.0,31292.0,544.0,-5830.0,-1703.0,-38.0,4.0,7.0,8.0,8.0,11.0,4.0
6913-9193-2-2,Spring,0,2021-01-11 10:17:55,2,200,Red,team,,Bilibili Gaming,,1620,1,18,6,41,18,6,1.0,0.0,,,1.0,,,,0.6667,0.8889,1.0,4.0,0.0,1.0,,,1.0,1.0,0.0,1.0,10.0,2.0,1.0,1.0,,,2.0,0.0,51913.0,1922.7037,2433.2963,1980.0741,81.0,3.0,37.0,1.3704,35.0,56117,38215.0,1415.3704,51275.0,960.0,758.0,202.0,101.0,33.0,35.5556,18020.0,19503.0,347.0,14938.0,17624.0,323.0,3082.0,1879.0,24.0,5.0,6.0,1.0,1.0,2.0,5.0,29876.0,31292.0,544.0,24046.0,29589.0,506.0,5830.0,1703.0,38.0,8.0,11.0,4.0,4.0,7.0,8.0
6913-9194-3-3,Spring,0,2021-01-11 11:03:58,3,100,Blue,team,,eStar,,1960,0,11,19,23,11,19,1.0,0.0,,,0.0,,,,0.3367,0.9184,1.0,2.0,2.0,0.0,,,0.0,0.0,2.0,0.0,3.0,11.0,0.0,0.0,,,0.0,5.0,45247.0,1385.1122,2965.8061,2335.7143,137.0,4.1939,48.0,1.4694,48.0,54546,33176.0,1015.5918,51600.0,1058.0,881.0,177.0,141.0,4.0,32.3878,15713.0,18839.0,330.0,16331.0,18810.0,341.0,-618.0,29.0,-11.0,2.0,4.0,2.0,2.0,4.0,2.0,24589.0,29118.0,508.0,28522.0,30463.0,534.0,-3933.0,-1345.0,-26.0,4.0,9.0,6.0,6.0,8.0,4.0
6913-9194-3-3,Spring,0,2021-01-11 11:03:58,3,200,Red,team,,Bilibili Gaming,,1960,1,19,11,45,19,11,2.0,1.0,,,1.0,,,,0.5816,0.9184,0.0,2.0,2.0,1.0,,,1.0,2.0,0.0,1.0,11.0,3.0,1.0,1.0,,,5.0,0.0,66801.0,2044.9286,2197.1939,1723.3469,92.0,2.8163,69.0,2.1122,36.0,66909,45539.0,1394.051,58045.0,1098.0,824.0,274.0,169.0,40.0,33.6122,16331.0,18810.0,341.0,15713.0,18839.0,330.0,618.0,-29.0,11.0,2.0,4.0,2.0,2.0,4.0,2.0,28522.0,30463.0,534.0,24589.0,29118.0,508.0,3933.0,1345.0,26.0,6.0,8.0,4.0,4.0,9.0,6.0
6914-9195-1-1,Spring,0,2021-01-11 12:06:26,1,100,Blue,team,,ThunderTalk Gaming,,1661,0,4,18,10,4,18,0.0,0.0,,,0.0,,,,0.1445,0.7947,1.0,2.0,2.0,1.0,,,0.0,0.0,1.0,0.0,1.0,11.0,1.0,0.0,,,0.0,3.0,38486.0,1390.2228,2972.2216,2098.519,79.0,2.8537,41.0,1.481,33.0,42597,24277.0,876.9536,42025.0,908.0,723.0,185.0,137.0,0.0,32.7995,14770.0,18323.0,337.0,15689.0,19177.0,347.0,-919.0,-854.0,-10.0,0.0,0.0,1.0,1.0,1.0,0.0,22711.0,28103.0,531.0,25181.0,31677.0,567.0,-2470.0,-3574.0,-36.0,0.0,0.0,3.0,3.0,4.0,0.0
6914-9195-1-1,Spring,0,2021-01-11 12:06:26,1,200,Red,team,,Royal Never Give Up,,1661,1,18,4,40,18,4,4.0,0.0,,,1.0,,,,0.6502,0.7947,0.0,2.0,2.0,0.0,,,1.0,1.0,0.0,1.0,11.0,1.0,0.0,1.0,,,3.0,0.0,59062.0,2133.4859,2373.8471,1944.997,87.0,3.1427,29.0,1.0476,26.0,56070,37750.0,1363.6364,47500.0,983.0,778.0,205.0,145.0,12.0,35.5087,15689.0,19177.0,347.0,14770.0,18323.0,337.0,919.0,854.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,25181.0,31677.0,567.0,22711.0,28103.0,531.0,2470.0,3574.0,36.0,3.0,4.0,0.0,0.0,0.0,3.0
6915-9197-1-1,Spring,0,2021-01-12 09:16:15,1,100,Blue,team,,FunPlus Phoenix,,1511,1,14,2,30,14,2,2.0,1.0,,,1.0,,,,0.5559,0.6353,1.0,3.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,2.0,1.0,1.0,,,2.0,0.0,47396.0,1882.0384,2761.8266,2556.9292,88.0,3.4944,30.0,1.1913,34.0,51700,34910.0,1386.2343,47935.0,943.0,729.0,214.0,135.0,17.0,37.4454,16232.0,20036.0,373.0,16435.0,19719.0,355.0,-203.0,317.0,18.0,1.0,1.0,2.0,2.0,7.0,1.0,27071.0,31366.0,563.0,25099.0,30455.0,560.0,1972.0,911.0,3.0,4.0,5.0,2.0,2.0,7.0,4.0
6915-9197-1-1,Spring,0,2021-01-12 09:16:15,1,200,Red,team,,Oh My God,,1511,0,2,14,7,2,14,0.0,0.0,,,0.0,,,,0.0794,0.6353,0.0,1.0,3.0,0.0,,,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,,,0.0,2.0,38463.0,1527.3197,2662.7134,2018.8749,73.0,2.8987,34.0,1.3501,29.0,40003,23213.0,921.7604,37705.0,892.0,719.0,173.0,127.0,15.0,35.4203,16435.0,19719.0,355.0,16232.0,20036.0,373.0,203.0,-317.0,-18.0,2.0,7.0,1.0,1.0,1.0,2.0,25099.0,30455.0,560.0,27071.0,31366.0,563.0,-1972.0,-911.0,-3.0,2.0,7.0,4.0,4.0,5.0,2.0
6915-9198-2-2,Spring,0,2021-01-12 10:00:34,2,100,Blue,team,,FunPlus Phoenix,,1850,1,19,11,30,19,11,2.0,1.0,,,1.0,,,,0.6162,0.973,0.0,4.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,2.0,0.0,1.0,,,2.0,0.0,72230.0,2342.5946,2912.5297,2365.9135,107.0,3.4703,56.0,1.8162,44.0,63997,43749.0,1418.8865,56333.0,1147.0,892.0,255.0,131.0,50.0,37.2,16287.0,18306.0,334.0,14833.0,17686.0,308.0,1454.0,620.0,26.0,2.0,4.0,1.0,1.0,1.0,2.0,26034.0,29914.0,538.0,23019.0,28512.0,504.0,3015.0,1402.0,34.0,3.0,6.0,1.0,1.0,1.0,3.0
6915-9198-2-2,Spring,0,2021-01-12 10:00:34,2,200,Red,team,,Oh My God,,1850,0,11,19,20,11,19,4.0,0.0,,,0.0,,,,0.3568,0.973,1.0,1.0,4.0,0.0,,,0.0,0.0,1.0,0.0,2.0,10.0,1.0,0.0,,,0.0,2.0,53715.0,1742.1081,3301.5568,2731.0054,107.0,3.4703,35.0,1.1351,34.0,51489,31241.0,1013.2216,47218.0,979.0,794.0,185.0,129.0,22.0,31.7514,14833.0,17686.0,308.0,16287.0,18306.0,334.0,-1454.0,-620.0,-26.0,1.0,1.0,2.0,2.0,4.0,1.0,23019.0,28512.0,504.0,26034.0,29914.0,538.0,-3015.0,-1402.0,-34.0,1.0,1.0,3.0,3.0,6.0,1.0
